['s0', 'p0', 'o0']
['s1', 'p1', 'o1']
['s2', 'p2', 'o2']
['s3', 'p3', 'o3']
['s4', 'p4', 'o4']
['s5', 'p5', 'o5']
['s6', 'p6', 'o6']
['s7', 'p7', 'o7']
['s8', 'p8', 'o8']
['s9', 'p9', 'o9']
['s10', 'p10', 'o10']
['s11', 'p11', 'o11']
['s52', 'p12', 'o12']
['s13', 'p13', 'o13']
['s14', 'p14', 'o14']
['s15', 'p15', 'o15']
['s16', 'p16', 'o16']
['s17', 'p17', 'o17']
['s18', 'p18', 'o18']
['s19', 'p19', 'o19']
['s20', 'p20', 'o20']
['s21', 'p21', 'o21']
['s22', 'p22', 'o22']
['s23', 'p23', 'o23']
['s24', 'p24', 'o24']
['s25', 'p25', 'o25']
['s26', 'p26', 'o26']
['s27', 'p27', 'o27']
['s28', 'p28', 'o28']
['s29', 'p29', 'o29']
['s30', 'p30', 'o30']
['s31', 'p31', 'o31']
['s32', 'p32', 'o32']
['s33', 'p33', 'o33']
['s34', 'p34', 'o34']
['s35', 'p35', 'o35']
['s36', 'p36', 'o36']
['s37', 'p37', 'o37']
['s38', 'p38', 'o38']
['s39', 'p39', 'o39']
['s40', 'p40', 'o40']
['s41', 'p41', 'o41']
['s42', 'p42', 'o42']
['s43', 'p43', 'o43']
['s44', 'p44', 'o44']
['s45', 'p45', 'o45']
['s46', 'p46', 'o46']
['s47', 'p47', 'o47']
['s48', 'p48', 'o48']
['s49', 'p49', 'o49']
['s50', 'p50', 'o50']
['s51', 'p51', 'o51']
['s52', 'p52', 'o52']
['s53', 'p53', 'o53']
['s54', 'p54', 'o54']
['s55', 'p55', 'o55']
['s56', 'p56', 'o56']
['s57', 'p57', 'o57']
['s58', 'p58', 'o58']
['s59', 'p59', 'o59']
['s60', 'p60', 'o60']
['s61', 'p61', 'o61']
['s62', 'p62', 'o62']
['s63', 'p63', 'o63']
['s64', 'p64', 'o64']
['s65', 'p65', 'o65']
['s66', 'p66', 'o66']
['s67', 'p67', 'o67']
['s68', 'p68', 'o68']
['s69', 'p69', 'o69']
['s70', 'p70', 'o70']
['s71', 'p71', 'o71']
['s72', 'p72', 'o72']
['s73', 'p73', 'o73']
['s74', 'p74', 'o74']
['s75', 'p75', 'o75']
['s76', 'p76', 'o76']
['s77', 'p77', 'o77']
['s78', 'p78', 'o78']
['s79', 'p79', 'o79']
['s80', 'p80', 'o80']
['s81', 'p81', 'o81']
['s82', 'p82', 'o82']
['s83', 'p83', 'o83']
['s84', 'p84', 'o84']
['s85', 'p85', 'o85']
['s86', 'p86', 'o86']
['s87', 'p87', 'o87']
['s88', 'p88', 'o88']
['s89', 'p89', 'o89']
['s90', 'p90', 'o90']
['s91', 'p91', 'o91']
['s92', 'p92', 'o92']
['s93', 'p93', 'o93']
['s94', 'p94', 'o94']
['s95', 'p95', 'o95']
['s96', 'p96', 'o96']
['s97', 'p97', 'o97']
['s98', 'p98', 'o98']
['s99', 'p99', 'o99']
